id,title,organization,description,eligibility,funding_amount,deadline,category,location,source,source_url,opportunity_number,opportunity_type,posted_date,document_urls,scraped_at,created_at
00987421-46ee-4b2d-9970-1c127bac6765,"Brother Paper, Part#PT-TP6PERF or Equivalent",State Police,"Bid: 001000000087262 This request of items is for Brother Paper Part#PT-TP6PERF or Equivalent. This bid is good for 90 days unless otherwise noted quotes are to be considered valid for 90 days after the conclusion of this event. This bid is NOT eligible for electronic submission through the supplier portal. A completed bid package MUST be submitted by 05/1/26 by 1:30 pm. The bid package is available for download through the Bid Documents link in the Event Name column. Event Details and Sourcing Event documents MUST be returned by your selected delivery choice listed below, for your bid to be considered. IMPORTANT: Completed bid Responses can be emailed to kwebster@isp.in.gov, faxed to 317-232-6668, or mailed to Indiana State Police- Fiscal Section ATTN: Kelsey Webster 100 N. Senate Ave, IGCN- N340 Indianapolis, IN 46204. If you have any questions, please contact Kelsey Webster at 317-232-6867. If you were not notified one week after the bid deadline, your company was not the low bidder. If you would like to request tabulations for this bid, please send an email to the above address. ALL CHARGES THAT DO NOT APPEAR ON THE QUOTE BUT APPEAR ON YOUR INVOICE WILL NOT BE PAID. — Contact: Kelsey Alisha Webster - 00100","YOUR RESPONSE MUST BE RECEIVED BY: May 1, 2026 by 1:30 PM 
GENERAL INFORMATION  
The information below is provided to assist you in completing this request
.  Please note that these instructions may not contain all applicable requirements.  Careful 
reading of this request is imperative.  Failure to follow these instructions or those printed throughout this package could lead to rejection of your quotation.  It is not 
necessary to return this page with your response.  
• Type or  print legibly in black ink all requested information, including 
prices and extensions, as well as accurate information.
• Manually sign the Signature Page and Contract if applicable.
• Fax or mail your response to the Requestor listed above.
• Do not add any contractual or payment terms and conditions.  Te",See solicitation documents for estimated value,2026-05-01 13:30:00,General,Indiana,Indiana IDOA Procurement,https://www.in.gov/idoa/proc/solicitations/files/001000000087262.zip,001000000087262,rfp,,https://www.in.gov/idoa/proc/solicitations/files/001000000087262.zip https://www.in.gov/idoa/proc/solicitations/files/001000000087262.zip#001000000087262/Notice of Addendum-Please Sign and Return with Packet.pdf https://www.in.gov/idoa/proc/solicitations/files/001000000087262.zip#001000000087262/Sourcing Event 87262.pdf,2026-04-26 08:48:45.905626,2026-04-26 08:48:45.905626
0131e1ae-b0b5-4aa9-95cd-946f98a1db96,Propane supply and delivery,Cape Cod Collaborative — ADM1 - Central Office,"Supply and delivery of propane fuel for school buses at the Nauset School District.

Pre-Bid Conference: None",Open to vendors registered and in good standing with COMMBUYS. See bid documents for any bid-specific qualifications.,,2026-06-04 10:00:00,General,Massachusetts,Massachusetts COMMBUYS,https://www.commbuys.com/bso/external/bidDetail.sda?docId=BD-24-1552-ADM1-ADM1-128580&external=true&parentUrl=close,BD-24-1552-ADM1-ADM1-128580,bid,2026-04-24 13:00:00,,2026-04-26 08:58:10.20609,2026-04-26 08:58:10.20609
01a58740-1c28-4e1b-a4f6-b843cccab1bb,"Reservation Software, Website and Call Center",Arizona Department of AdministrationArizona State Parks BoardArizona State Parks BoardArizona State Parks BoardArizona State Parks BoardArizona State Parks BoardArizona State Parks BoardArizona State Parks BoardArizona State Parks BoardArizona State Parks BoardArizona State Parks BoardArizona State Parks BoardArizona State Parks BoardArizona State Parks BoardArizona State Parks BoardArizona State Parks BoardArizona State Parks BoardArizona State Parks BoardArizona State Parks Board,Status: Open for Bidding. RFx Type: Information Technology Service Delivery.,,,2026-06-01 15:00:00,Technology,Arizona,Arizona Procurement Portal,https://app.az.gov/page.aspx/en/rfp/request_browse_public?rfp=BPM007445,BPM007445,bid,,,2026-04-26 08:17:22.546374,2026-04-26 08:17:22.546374
01ecf163-4af8-47d9-aa8a-eecc9cc00559,"Program of All-Inclusive Care for the Elderly - Warren, Sussex and Morris Counties",NJ DHS - DoAS,Division: DoAS; Type: RFA,", be able to live safely in the community at the time of enrollment (with the help of 
PACE services), and must reside in the service area of the PACE pr ogram.   
 PACE provides its participants with all services covered by Medicare and Medicaid, without the limitations normally imposed by these programs.  PACE also provides any other services 
deemed necessary by the interdisciplinary team that would allow the participant to remain in 
the community.  Services include, but are not limited to, primary care (including doctor, dental and nursing services), prescription drugs, adult day health care, home and personal care services, nutrition services, hospital and nursing care (if and when needed), and transportation 
services to and from the PACE center and all off -site appointments.",,,Healthcare,New Jersey,New Jersey DHS,https://www.nj.gov/humanservices/notices/documents/rfprfi/RFA-PACE-Warren_Sussex_Morris-1.16.25.pdf,RFA-PACE-Warren_Sussex_Morris-1,rfp,,https://www.nj.gov/humanservices/notices/documents/rfprfi/RFA-PACE-Warren_Sussex_Morris-1.16.25.pdf https://www.nj.gov/humanservices/notices/documents/rfprfi/PACE%20FAQ Document-1.16.25.pdf,2026-04-26 09:25:45.630409,2026-04-26 09:25:45.630409
02244219-3ba0-4466-b137-69c9fb793900,Street Maintenance Winter Sand Cover Structure,Alaska DCRA - CITY OF SOLDOTNA,"Recipient: CITY OF SOLDOTNA; Type: Legislative; Status: Active; Administrator: Kasey Bezold; Remaining: $300,000.00 of $300,000.00","Legislative grant — eligible Alaska municipalities, nonprofits, and community organizations as designated by the Legislature","$300,000.00",2029-06-30 08:00:00,General,Alaska - Soldotna,Alaska DCRA Grants,https://experience.arcgis.com/experience/d7158093678a4339a6c16357ae544b91#grant=25DC040,25DC040,grant,2024-07-01 08:00:00,https://experience.arcgis.com/experience/d7158093678a4339a6c16357ae544b91#grant=25DC040,2026-04-26 08:15:34.707395,2026-04-26 08:15:34.707395
02591905-8929-4b46-95e7-f1198cf770af,Department of Education - Grants,Education Department,"The Grants Management Directory provides all information about competitive and formula grants available through the Minnesota Department of Education in a centralized publicly available location. You can view current or open grant opportunities that are accepting applications, search for a specific grant, view awarded grants or view closed grants that are now archived.",,,,Education,Minnesota,Minnesota Grants,https://education.mn.gov/MDE/dse/grants/,tcm:1093-288894,grant,2025-05-08 20:48:44.88428,,2026-04-26 09:07:53.375413,2026-04-26 09:07:53.375413
0285d2f3-95fb-4e72-91db-2779af32b246,Arts Respond Performance Support - 4th quarter,Tx Comm On Arts - 813,"This non-competitive grant program provides professional artist fees to schools, libraries, and nonprofit organizations for hiring an artist from the Texas Commission on the Arts (TCA) Touring Roster to do a performance. These applications are funded based on a percentage of contracted fees.
Contact: Laura Wiegand (laura@arts.texas.gov)
Keywords: art, theater, theatre, play, performance, music, band, symphony, dance, storyteller, folk art, literature, poetry, poet, dance, ballet, traditional arts, acoustic, bluegrass, blues/jazz, early music, ensembles, instrumental soloists, opera, orchestra, singer, songwriter, voice, young audiences, marionette, ventriloquists, visual artist, film, media arts, illustration, painting, printmaking, sculpture, mural, words, authors, stop-motion animation",Charter School Government - All Higher Education - Public Library - Public/Private Non-profit Organization 501 (c)(3) - Statewide School - Education Service Center/LEAs School - K-12 Public; Matching: Yes,"$750,000.00",2026-05-01 00:00:00,Arts - Mini-grant - Arts & Culture Education Museums & Libraries Recreation Tourism,Texas,Texas ESBD Grants,https://www.txsmartbuy.gov/esbd-grants/813-CC6_Q4_FY26,813-CC6_Q4_FY26,grant,2025-11-04 00:00:00,,2026-04-26 10:02:59.98758,2026-04-26 10:02:59.98758
02af2892-ca25-40bd-a0e6-bdbc848c4e66,Propane Storage and Resilience Grants - Part A,Michigan Department of Environment,"Due Date 6/21/2024 Title Propane Storage and Resilience Grants - Part A Status Closed Funding Amount $5,000,000 Agency Michigan Department of Environment, Great Lakes, and Energy Categories The overall goal of the Propane Resilience Enhancement Program (PREP) is to ensure the adequacy of supply and affordability of pricing for residential and commercial consumers in Michigan who rely on propane as a primary energy source or as part of their preparedness and continuity plans. Part A aims to devel","Applicants:
City or township governments
County governments
For profit organizations other than small businesses
Small businesses
Others
Show More
Apply with Confidence
Our partners at Syncurrent help local governments move from searching to applying. Confirm eligibility, access funding documents, and begin building a complete application in a single secure platform.
Explore Syncurrent
The MI Funding Hub is a joint venture of The Michigan Municipal League and The Michigan Department of Labor and Economic Opportunity.
Michigan Municipal League
1675 Green Road
Ann Arbor, MI 48105
Contact & Connect
Facebook
X-twitter
Instagram
Linkedin
Find Funding
Resource Library
Grant Glossary
FAQs
Share Your Feedback
Find Funding
Resource Library
Grant Glossary
FAQs
Share Your Feedback
Funding News
Funding Events
Partners
Newsletter Sign Up
Privacy Policy
Funding News
Funding Events
Partners
Newsletter Sign Up
Privacy Policy
We're Here to Help
Navigating state and federal funding is complicated. We’re","$5,000,000",2024-06-21 00:00:00,Environment,Michigan,Michigan Funding Hub,https://mifundinghub.org/funding-opportunities/?grant=12995,,grant,,,2026-04-26 09:05:36.175708,2026-04-26 09:05:36.175708
02bc45da-55a7-41bd-a90b-ae2bf0a1b8df,10.558 Child and Adult Care Food Program,Illinois Dept. on Aging,"The Child and Adult Care Food Program (CACFP) is a federal nutrition education and meal reimbursement program. CACFP partially reimburses participating agencies providing healthy meals and snacks at Adult Day Service Centers under the Community Care Program Federal Authorization Richard B. Russell National School Lunch Act, Sections 9, 11, 14, 16 and 17, as amended, 89 Stat. 522-525, 42 U.S.C. 1758, 1759a, 1762a, 1765 and 1766 Illinois Statue Authorization Not Applicable. Federal Program/Award. Illinois Administrative Rules Authorization Not Applicable. Federal Program/Award. Objective To assist States, through grants-in-aid and other means, to initiate and maintain nonprofit food service programs for children and elderly or impaired adults enrolled in nonresidential day care facilities, hence Adult Day Care sites in Illinois. The State administering agencies (Illinois School Board of Education and the Illinois Department on Aging) provide aid to child and adult care sponsoring organizations, centers, and day care sites and/or homes for the provision of nutritious foods that contribute to the wellness, continued healthy growth, health and wellness of older adults and chronically impaired disabled persons. Funds are also made available to the State agencies for expenses associated with CACFP administration. Prime Recipient No UGA Program Terms 1. The Service Provider agrees to administer the Child and Adult Care Food Program (CACFP) under the Federal Register, Department of Ag
Agency: AGE (402)","Nonprofit Organizations; For-Profit Organizations; Applicant Eligibility The State or U.S. Territory Agency applies for and signs an agreement to receive Federal funds for disbursement. The State Agency enters into an agreement (SDA) with each institution that has been approved for participation. The agreement (SDA) is permanent and may be amended as necessary to ensure compliance with all Federal requirements. Institutions must agree to operate a nonprofit food service that is available to all eligible adult participants regardless of race, sex, color, national origin, age, or disability. Beneficiary Eligibility",,,Education,Illinois,Illinois CSFA,https://omb.illinois.gov/PUBLIC/GATA/CSFA/Program.aspx?csfa=21,402-03-0021,grant,,,2026-04-26 08:41:07.83761,2026-04-26 08:41:07.83761
03345a12-daa3-4c0b-a991-28d38c1f33a0,"Major Procurement CONSTRUCTION Invitation for Bid- Alcorn State University Tennis Lighting,...",Mississippi - ALCORN STATE UNIVERSITY,RFx #: 3160008003. Status: Open.,,,2026-05-12 00:00:00,Infrastructure,Mississippi,Mississippi DFA Bids,https://www.ms.gov/dfa/contract_bid_search/Bid/Details/44933?AppId=1,9210-26-R-IFBD-00019,bid,2026-04-10 00:00:00,https://SRM.MAGIC.MS.GOV:443/SAP/EBP/DOCSERVER/ADVERTISEMENT%20FOR%20BIDDING%2DTENNIS%20LIGHTING.DOCX?PHIOGET&KPID=0200060000111FE18CD78052A2F7864B&KPCLASS=BBP_P_DOC&SAP-CLIENT=100,2026-04-26 09:09:52.879069,2026-04-26 09:09:52.879069
